Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags,Price_EUR,Tag_Region,Rating,Unit,Section,ComplexList
Lough Ramor Caravan and Camping Park,,3.53873E+11,-7.049428,53.795701,Cavan,Virginia,Republic of Ireland,Camping,900,Camping_Cavan,1,Zone,59,"[4, 5]"
Glenbeg Caravan Park,,+353(0)669475182,-10.08149641,51.75895187,Kerry,Caherdaniel,Republic of Ireland,Camping,822,Camping_Kerry,1,Sect,5,"[2, 2]"
Woodlands Park,https://www.facebook.com/woodlandstralee,+353(0)667121235,-9.703761,52.261393,Kerry,Tralee,Republic of Ireland,Camping,709,Camping_Kerry,4,Lot,48,"[0, 0, 3]"
Sir Rogers Caravan and Camping Park,http://www.sirrogers.com/,+353(0)667134730,-9.825253038,52.34021718,Kerry,Ardfert,Republic of Ireland,Camping,1156,Camping_Kerry,5,Lot,3,"[3, 5]"
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520046,Tipperary,Cashel,Republic of Ireland,Camping,1069,Camping_Tipperary,1,Div,4,"[6, 6]"
Moloney House,http://www.moloneyhouse.ie,+353(0)871250303,-9.382853519,53.01365572,Clare,Doolin,Republic of Ireland,B&B,986,B&B_Clare,2,Sect,43,"[6, 8, 0, 1]"
Tigh Fitz,http://www.tighfitz.com,+353(0)9961213,-9.664168021,53.10560026,Galway,Aran Islands,Republic of Ireland,"B&B,Welcome Standard",841,"B&B,Welcome Standard_Galway",2,Zone,74,"[6, 8, 9]"
West End Bar,http://www.westendfenit.ie,+353(0)667136246,-9.864376,52.276691,Kerry,Fenit,Republic of Ireland,"B&B,Welcome Standard",1094,"B&B,Welcome Standard_Kerry",2,Zone,88,"[4, 4, 0, 4]"
Abbey Lodge,http://www.abbey-lodge.com,+353(0)646634193,-9.506673,52.055283,Kerry,Killarney,Republic of Ireland,"B&B,Welcome Standard",927,"B&B,Welcome Standard_Kerry",2,Blk,9,"[2, 7, 8, 3]"
Óstán Loch Altan Hotel,http://www.ostanlochaltan.com/,+353(0)749135267,-8.133193902,55.12167518,Donegal,Gortahork,Republic of Ireland,Hotel,866,Hotel_Donegal,1,Div,25,"[1, 9, 7, 2, 6]"
Ballyliffin Hotel,http://www.ballyliffinhotel.com,+353(0)749376106,-7.393952,55.277699,Donegal,Ballyliffin,Republic of Ireland,Hotel,870,Hotel_Donegal,3,Lot,42,"[7, 1, 2]"
Dooley's Hotel Waterford,http://www.dooleys-hotel.ie,+353(0)51873531,-7.115599237,52.26286088,Waterford,Waterford City,Republic of Ireland,Hotel,736,Hotel_Waterford,2,Sect,57,"[1, 3, 6]"
Dorrian’s Imperial Hotel,http://www.dorriansimperialhotel.com,+353(0)719851147,-8.191242321,54.50200653,Donegal,Ballyshannon,Republic of Ireland,Hotel,655,Hotel_Donegal,2,Lot,98,"[5, 1, 2, 9]"
Arbutus Hotel,http://www.arbutuskillarney.com,+353(0)646631037,-9.506098047,52.05955281,Kerry,Killarney,Republic of Ireland,Hotel,933,Hotel_Kerry,2,Lot,68,"[1, 4, 0]"
Bridge Hotel,https://www.facebook.com/pages/Bridge-Hotel-Arklow/296977553466?ref=bookmarks,+353(0)40231666,-6.15244,52.798163,Wicklow,Arklow,Republic of Ireland,Hotel,1133,Hotel_Wicklow,5,Lot,54,"[8, 2, 7]"
Kelly's Resort Hotel,https://www.facebook.com/pages/Kellys-Resort-Hotel/306173243827,+353(0)539132114,-6.387774,52.275493,Wexford,Rosslare,Republic of Ireland,Hotel,638,Hotel_Wexford,4,Blk,7,"[3, 6, 5]"
Ryan's Hotel,http://www.ryanshotelcong.ie,+353(0)949546243,-9.28634747,53.54132409,Mayo,Cong,Republic of Ireland,Hotel,1115,Hotel_Mayo,3,Div,9,"[2, 9, 1]"
Hearn's Hotel,https://www.facebook.com/pages/category/Hotel/Hearns-Hotel-2217804311776051,+353(0)526121611,-7.698001565,52.35357851,Tipperary,Clonmel,Republic of Ireland,Hotel,1097,Hotel_Tipperary,2,Blk,16,"[4, 9, 3, 5, 6]"
Taravie Hotel,https://www.facebook.com/pages/Taravie-Hotel/200397549970664,+353(0)539425208,-6.228037606,52.6453262,Wexford,Gorey,Republic of Ireland,Hotel,766,Hotel_Wexford,5,Lot,66,"[2, 5, 6]"
Munster Arms Hotel,http://www.munsterarmshotel.ie,+353(0)238841562,-8.733748497,51.74518113,Cork,Bandon,Republic of Ireland,Hotel,979,Hotel_Cork,5,Blk,33,"[7, 6, 1]"
Glendalough Hotel,http://www.glendaloughhotel.com,+353(0)40445135,-6.325768764,53.01140875,Wicklow,Glendalough,Republic of Ireland,Hotel,699,Hotel_Wicklow,1,Blk,24,"[0, 6, 4, 6, 7]"
Glen Hotel,http://www.theglenhotel.weebly.com,+353(0)749520505,-8.499613698,54.99006988,Donegal,,Republic of Ireland,Hotel,1055,Hotel_Donegal,5,Lot,67,"[6, 8, 7, 8]"
Imperial Hotel (Galway),http://www.imperialhotelgalway.ie,+353(0)91563033,-9.050906659,53.27460434,Galway,Eyre Square,Republic of Ireland,Hotel,1021,Hotel_Galway,4,Zone,81,"[2, 2, 6]"
Dunraven Arms Hotel,http://www.dunravenhotel.com,+353(0)61605900,-8.786761762,52.5655143,Limerick,Adare,Republic of Ireland,Hotel,813,Hotel_Limerick,1,Zone,44,"[0, 2, 9, 7]"
O'Donovan's Hotel,http://www.odonovanshotel.com,+353(0)238833250,-8.889939883,51.62303021,Cork,Clonakilty,Republic of Ireland,Hotel,640,Hotel_Cork,4,Lot,88,"[1, 0, 2, 8, 5]"
Greville Arms Hotel,http://www.grevillearmshotel.ie/,3.53449E+11,-7.340922283,53.52577807,Westmeath,Mullingar,Republic of Ireland,Hotel,1183,Hotel_Westmeath,1,Sect,73,"[4, 4, 6, 9, 4]"
The Anner Hotel,http://www.annerhotel.ie,+353(0)50421799,-7.796215534,52.67877702,Tipperary,Thurles,Republic of Ireland,Hotel,867,Hotel_Tipperary,1,Zone,71,"[9, 3, 8, 5]"
Rosapenna Hotel and Golf Resort,http://www.rosapenna.ie,+353(0)749155301,-7.827363929,55.1886295,Donegal,Downings,Republic of Ireland,Hotel,1136,Hotel_Donegal,1,Lot,86,"[4, 6, 3, 6, 3]"
Hotel Kilkenny,http://www.hotelkilkenny.ie,+353(0)567762000,-7.261078505,52.6430975,Kilkenny,Kilkenny City,Republic of Ireland,Hotel,1007,Hotel_Kilkenny,3,Zone,19,"[7, 4, 4, 3]"
Anno Santo Hotel,,+353(0)91523011,-9.088565312,53.26331118,Galway,Salthill,Republic of Ireland,Hotel,1067,Hotel_Galway,4,Blk,76,"[5, 5, 0, 1]"
Innishannon House Hotel,http://www.innishannonhotel.ie,+353(0)214775121,-8.648075548,51.75968822,Cork,Innishannon,Republic of Ireland,Hotel,1056,Hotel_Cork,3,Lot,95,"[8, 8]"
Brandon Hotel Conference & Leisure Centre,http://www.facebook.com/brandonhotel,+353(0)667123333,-9.709938958,52.26705648,Kerry,Tralee,Republic of Ireland,Hotel,716,Hotel_Kerry,1,Lot,99,"[0, 7]"
Devon Inn Hotel,http://www.devoninnhotel.ie,+353(0)6984122,-9.179745689,52.39483047,Limerick,Templeglantine,Republic of Ireland,Hotel,818,Hotel_Limerick,1,Blk,58,"[3, 6, 2, 1]"
Castle Arms Hotel,http://www.castlearmshotel.ie,+353(0)578736117,-7.396035831,52.84537189,Laois,Durrow,Republic of Ireland,Hotel,880,Hotel_Laois,5,Zone,75,"[8, 7, 1]"
Ferrycarrig Hotel,http://www.ferrycarrighotel.com,+353(0)539120999,-6.505782339,52.35372868,Wexford,Ferrycarrig,Ireland,Hotel,899,Hotel_Wexford,5,Zone,88,"[8, 9, 7, 1]"
Carraroe Hotel,http://carraroehotel.com,+353(0)91869577,-9.606860663,53.26393053,Galway,Carraroe,Republic of Ireland,Hotel,626,Hotel_Galway,4,Lot,85,"[2, 1]"
Roundstone House Hotel,https://www.facebook.com/roundstonehouse/,+353(0)9535864,-9.919040298,53.395151,Galway,Roundstone,Republic of Ireland,Hotel,928,Hotel_Galway,1,Zone,89,"[3, 5]"
Kenmare Bay Hotel & Resort,http://www.kenmarebayhotel.com,+353(0)646641300,-9.591345724,51.88302456,Kerry,Kenmare,Republic of Ireland,Hotel,692,Hotel_Kerry,5,Div,83,"[4, 2, 1]"
Greenhills Hotel,http://www.greenhillsgroup.com,+353(0)61453033,-8.671157495,52.67371159,Limerick,Limerick City,Republic of Ireland,Hotel,1046,Hotel_Limerick,4,Zone,38,"[5, 2, 8, 8, 9]"
Fitzgeralds Hotel,http://www.fitzgeraldshotel.com,+353(0)719841336,-8.284494546,54.47662929,Donegal,Bundoran,Republic of Ireland,Hotel,1010,Hotel_Donegal,3,Zone,73,"[6, 9]"
White Lady Hotel,http://www.whiteladyhotelkinsale.ie,+353(0)214772737,-8.519749898,51.70143657,Cork,Kinsale,Republic of Ireland,Hotel,1154,Hotel_Cork,1,Sect,41,"[2, 8, 4, 4, 5]"
Riverbank House Hotel,http://www.riverbankhousehotel.com,+353(0)539123611,-6.455005044,52.34468854,Wexford,,Republic of Ireland,Hotel,1047,Hotel_Wexford,5,Blk,80,"[1, 5, 8, 5, 2]"
Mountshannon Hotel,http://www.mountshannon-hotel.ie,+353(0)61927162,-8.428158697,52.93183914,Clare,Mountshannon,Republic of Ireland,Hotel,820,Hotel_Clare,3,Zone,81,"[5, 7]"
Killarney Avenue Hotel,http://www.killarneyavenue.com,+353(0)646632522,-9.506268775,52.05752643,Kerry,Killarney,Republic of Ireland,Hotel,1181,Hotel_Kerry,1,Div,93,"[9, 6, 5, 0]"
Blarney Woollen Mills Hotel,http://www.blarneywoollenmillshotel.com,+353(0)214385011,-8.565252589,51.93293105,Cork,Blarney,Republic of Ireland,Hotel,846,Hotel_Cork,2,Zone,59,"[1, 7, 1, 9]"
Town House Hotel,http://www.thetownhousehotel.ie,+353(0)45879226,-6.671920335,53.21625044,Kildare,Naas,Republic of Ireland,Hotel,795,Hotel_Kildare,3,Zone,48,"[4, 1, 2]"
Sancta Maria Hotel,http://www.sancta-maria.ie,+353(0)657081041,-9.319108983,52.93756026,Clare,Lahinch,Republic of Ireland,Hotel,1144,Hotel_Clare,1,Blk,17,"[2, 5, 9, 6, 0]"
Teach Óstan na Pairce Hotel,http://www.parklodgehotel.ie,+353(0)91553159,-9.264498484,53.24702014,Galway,Spiddal,Republic of Ireland,Hotel,822,Hotel_Galway,2,Sect,64,"[3, 2, 2]"
Cedar Lodge Hotel and Restaurant,http://www.cedarlodgehotel.ie/,+353(0)51428386,-6.773846,52.364251,Wexford,Newbawn,Republic of Ireland,Hotel,645,Hotel_Wexford,3,Blk,57,"[3, 2, 4, 3]"
Tinakilly Country House and Restaurant,http://www.tinakilly.ie,+353(0)40469274,-6.06691249,52.99618228,Wicklow,Rathnew,Republic of Ireland,Hotel,882,Hotel_Wicklow,5,Blk,51,"[4, 9]"
Sligo Southern Hotel,https://www.sligosouthernhotel.ie/,3.53719E+11,-8.48277647,54.27146424,Sligo,,Republic of Ireland,Hotel,1078,Hotel_Sligo,1,Zone,67,"[5, 9, 6, 2]"
Dun A Ri House Hotel,http://www.dunarihouse.com,3.5343E+11,-6.804064,53.905079,Cavan,Kingscourt,Ireland,Hotel,713,Hotel_Cavan,3,Zone,85,"[4, 4, 1]"
"Oranmore Lodge Hotel, Conference and Leisure Centre",https://www.facebook.com/oranmorelodgehotel?ref=hl,+353(0)91794400,-8.930882414,53.27602566,Galway,Oranmore,Republic of Ireland,Hotel,878,Hotel_Galway,5,Zone,15,"[3, 9]"
Blarney Castle Hotel,http://www.blarneycastlehotel.com,+353(0)214385116,-8.567189848,51.9325031,Cork,Blarney,Republic of Ireland,Hotel,678,Hotel_Cork,5,Zone,43,"[8, 1, 4, 5]"
Adare Manor Hotel & Golf Resort,https://www.adaremanor.com/,35361605200,-8.7778256,52.5641886,Limerick,Adare,Ireland,Hotel,1012,Hotel_Limerick,5,Div,72,"[4, 3, 0]"
Danaghers Hotel,http://danaghershotelcong.wix.com/danaghers#!contact/c24vq,+353(0)949546028,-9.286207,53.540546,Mayo,Cong,Republic of Ireland,Hotel,885,Hotel_Mayo,1,Sect,82,"[9, 0, 4, 5, 7]"
Lough Inagh Lodge Hotel,http://www.loughinaghlodgehotel.ie,+353(0)9534706,-9.741996834,53.52079805,Galway,Recess,Republic of Ireland,Hotel,798,Hotel_Galway,5,Zone,78,"[4, 7, 9, 8, 2]"
Harbour View Hotel,http://www.harbourhotel.ie,+353(0)45879145,-6.667711507,53.21620728,Kildare,Naas,Republic of Ireland,Hotel,736,Hotel_Kildare,5,Sect,80,"[4, 0, 7, 8, 3]"
Cill Aodain Court Hotel,http://www.cillaodain.ie,+353(0)949381761,-8.998056,53.85042,Mayo,Kiltimagh,Republic of Ireland,Hotel,939,Hotel_Mayo,2,Div,85,"[3, 1, 9]"
The Carraig,http://www.carraighotel.com,+353(0)51641455,-7.412455321,52.34537351,Tipperary,,Republic of Ireland,Hotel,1002,Hotel_Tipperary,3,Lot,96,"[5, 0]"
Bay View Hotel (Killybegs),http://www.bayviewhotel.ie,+353(0)749731950,-8.442173954,54.63680048,Donegal,Killybegs,Republic of Ireland,Hotel,1165,Hotel_Donegal,3,Div,61,"[9, 6, 6, 8]"
Walter Raleigh Hotel,http://www.walterraleighhotel.com,+353(0)2492011,-7.843490391,51.94677001,Cork,Youghal,Republic of Ireland,Hotel,862,Hotel_Cork,3,Zone,25,"[8, 2, 5, 8, 2]"
Gullane's Hotel,http://www.gullaneshotel.com,+353(0)909642220,-8.221166371,53.33057938,Galway,Ballinasloe,Republic of Ireland,Hotel,696,Hotel_Galway,2,Div,56,"[0, 8, 6, 7]"
River Island Hotel,http://www.riverislandhotel.com/,+353(0)667142555,-9.464129475,52.23068698,Kerry,Castleisland,Republic of Ireland,Hotel,1100,Hotel_Kerry,5,Sect,71,"[2, 4, 8, 1, 8]"
Dunmore House Hotel,http://www.dunmorehousehotel.ie,+353(0)238833352,-8.867678904,51.5902265,Cork,Muckross,Republic of Ireland,Hotel,978,Hotel_Cork,5,Blk,10,"[5, 5, 6]"
Park House Hotel,http://www.parkhousehotel.ie,+353(0)91564924,-9.046731097,53.27447413,Galway,Eyre Square,Republic of Ireland,Hotel,1020,Hotel_Galway,2,Blk,75,"[3, 1, 4, 6, 7]"
Dinn Rí Hotel,http://www.dinnri.com,+353(0)599133111,-6.930033732,52.83584625,Carlow,Carlow Town,Republic of Ireland,Hotel,658,Hotel_Carlow,5,Div,54,"[3, 9, 0, 1, 0]"
Langton House,http://www.langtons.ie,+353(0)567765133,-7.248266656,52.65327993,Kilkenny,Kilkenny City,Republic of Ireland,Hotel,787,Hotel_Kilkenny,2,Div,93,"[1, 6, 8, 7, 9]"
Dunbrody Country House Hotel,http://www.dunbrodyhouse.com,+353(0)51389600,-6.942125,52.23985,Wexford,Arthurstown,Republic of Ireland,Hotel,1061,Hotel_Wexford,4,Div,21,"[4, 5]"
Ballyglass Country House,http://www.ballyglasshouse.com,+353(0)6252104,-8.165632,52.442009,Tipperary,,Republic of Ireland,Hotel,1100,Hotel_Tipperary,3,Zone,90,"[6, 5, 3, 1]"
Limerick City Hotel,https://www.limerickcityhotel.ie/,35361207000,-8.6334112,52.6610648,Limerick,,Ireland,Hotel,861,Hotel_Limerick,3,Sect,45,"[2, 5, 7]"
Fennessys Hotel,http://www.fennessyshotel.com,+353(0)526123680,-7.702124,52.354589,Tipperary,Clonmel,Republic of Ireland,Hotel,1083,Hotel_Tipperary,1,Zone,57,"[5, 0, 6, 4]"
The Address Cork,https://www.theaddresscork.com/,+353(0)214539000,-8.459401,51.905133,Cork,Cork City,Republic of Ireland,Hotel,1105,Hotel_Cork,4,Div,66,"[2, 7]"
Downhill Inn Hotel,http://www.downhillinn.ie,+353(0)9673444,-9.135038,54.119429,Mayo,Ballina,Republic of Ireland,Hotel,832,Hotel_Mayo,2,Lot,58,"[5, 9, 1, 2, 9]"
Killarney Court Hotel,http://www.killarneycourthotel.com/,+353(0)646637070,-9.515446,52.068823,Kerry,Killarney,Republic of Ireland,Hotel,1139,Hotel_Kerry,2,Zone,90,"[6, 2]"
Meadowlands Hotel,https://www.meadowlandshotel.com/,+353(0)667180444,-9.691311,52.27621,Kerry,Tralee,Republic of Ireland,Hotel,773,Hotel_Kerry,1,Blk,17,"[4, 3, 8]"
Times Hotel,,+353(0)6231111,-8.157902,52.473949,Tipperary,Tipperary Town,Republic of Ireland,Hotel,743,Hotel_Tipperary,5,Sect,73,"[5, 5, 0, 2, 0]"
Bella Vista Hotel,http://www.bellavistahotel.ie,+353(0)214812450,-8.297062,51.851385,Cork,Cobh,Republic of Ireland,Hotel,1010,Hotel_Cork,1,Zone,97,"[2, 3, 8, 7, 6]"
Leenane Hotel,http://leenanehotel.com/,+353(0)9542249,-9.70493,53.594557,Galway,Leenane,Republic of Ireland,Hotel,982,Hotel_Galway,4,Div,22,"[5, 5]"
The Wilton Hotel,http://www.wiltonhotelbray.com,+353(0)12760258,-6.100199,53.186639,Wicklow,Bray,Republic of Ireland,Hotel,683,Hotel_Wicklow,5,Zone,26,"[7, 9, 2]"
Grand Central Hotel,http://www.grandcentralbundoran.com/,+353(0)719842722,-8.276529,54.47987,Donegal,Bundoran,Republic of Ireland,Hotel,1100,Hotel_Donegal,1,Blk,48,"[3, 8, 0]"
WatersEdge Hotel,http://www.watersedgehotel.ie,+353(0)214815566,-8.297908,51.849027,Cork,Cobh,Republic of Ireland,Hotel,720,Hotel_Cork,3,Sect,72,"[7, 4, 5, 8, 7]"
Brook Lodge Hotel,http://www.brooklodgekillarney.com,+353(0)646631800,-9.512499,52.060785,Kerry,Killarney,Republic of Ireland,Hotel,1083,Hotel_Kerry,3,Div,95,"[0, 6, 1]"
Riverside Hotel Killarney,http://www.riversidehotelkillarney.com,+353(0)646639200,-9.507321,52.049159,Kerry,Killarney,Republic of Ireland,Hotel,604,Hotel_Kerry,2,Div,79,"[9, 4]"
Ballina Manor Hotel,http://ballinamanorhotel.ie/,+353(0)9680900,-9.15404,54.112587,Mayo,Ballina,Republic of Ireland,Hotel,1078,Hotel_Mayo,4,Zone,79,"[2, 1, 0, 3]"
Mulcahy's Hotel,http://www.mulcahys.ie,+353(0)526125054,-7.70171,52.353766,Tipperary,Clonmel,Republic of Ireland,Hotel,1072,Hotel_Tipperary,3,Sect,44,"[4, 3]"
An Crúiscín Lán,http://www.cruiscin.ie,+353(0)91553148,-9.306534,53.243982,Galway,Spiddal,Republic of Ireland,Hotel,1068,Hotel_Galway,3,Div,64,"[5, 3, 4, 0]"
Travelodge Limerick,http://www.travelodge.ie/hotels/229/Limerick-Ennis-Road-hotel,35361457000,-8.6756236,52.673521,Limerick,Knock,Ireland,Hotel,999,Hotel_Limerick,3,Sect,21,"[9, 9, 4]"
Woodenbridge Lodge,http://www.woodenbridgehotel.com,+353(0)40235146,-6.234952878,52.83232292,Wicklow,Woodenbridge,Republic of Ireland,Hotel,883,Hotel_Wicklow,5,Zone,46,"[5, 1, 8, 4, 6]"
The Pilgrims Rest Hotel,http://www.thepilgrimsrest.com,+353(0)5852917,-7.848526,52.183216,Waterford,Cappoquin,Republic of Ireland,Hotel,1023,Hotel_Waterford,4,Blk,19,"[3, 7, 5, 3]"
Downings Bay Hotel,http://www.downingsbayhotel.com,+353(0)749155586,-7.835622,55.194587,Donegal,Downings,Republic of Ireland,Hotel,766,Hotel_Donegal,2,Lot,3,"[7, 2, 1]"
Quality Hotel Youghal,http://www.qualityyoughal.com,+353(0)2493050,-7.872633,51.924996,Cork,Youghal,Republic of Ireland,Hotel,1069,Hotel_Cork,5,Blk,85,"[3, 6, 7, 8, 6]"
Malinbeg Hostel,http://www.malinbeghostel.com,+353(0)749730006,-8.729419105,54.7079734,Donegal,,Republic of Ireland,Hostel,933,Hostel_Donegal,5,Div,80,"[8, 9, 0, 7]"
Courtbrack Accommodation,,+353(0)61302500,-8.646733,52.655444,Limerick,Limerick City,Republic of Ireland,Hostel,875,Hostel_Limerick,5,Lot,51,"[8, 0]"
"Sheilas Tourist Hostel
",http://www.sheilashostel.ie,+353(0)214505562,-8.465951,51.902614,Cork,Cork City,Republic of Ireland,Hostel,903,Hostel_Cork,4,Lot,2,"[1, 6]"
Cashel Holiday Hostel,http://www.cashelhostel.com,+353(0)6262330,-7.887698,52.516,Tipperary,Cashel,Republic of Ireland,Hostel,941,Hostel_Tipperary,2,Zone,9,"[0, 5]"
Old Monastery Hostel,http://www.oldmonasteryhostel.com,+353(0)872349543,-9.946109,53.551973,Galway,Letterfrack,Republic of Ireland,Hostel,622,Hostel_Galway,4,Lot,12,"[5, 4, 6, 5, 3]"
Killarney Railway Hostel,http://www.killarneyhostel.com,+353(0)646635299,-9.503186,52.060525,Kerry,Killarney,Republic of Ireland,Hostel,684,Hostel_Kerry,2,Blk,71,"[0, 2, 6, 3]"
Rainbow Hostel,,+353(0)657074415,-9.370623,53.019764,Clare,Doolin,Republic of Ireland,Hostel,747,Hostel_Clare,2,Blk,21,"[1, 8]"
Dempsey's Hostel,http://www.hostelkinsale.com,+353(0)214772124,-8.514567,51.708141,Cork,Kinsale,Republic of Ireland,Hostel,668,Hostel_Cork,3,Lot,25,"[0, 7, 5]"
Killarney Lakeland Cottages,http://www.killarneycottages.com,+353(0)646633290,-9.481653,52.030964,Kerry,Muckross,Republic of Ireland,Self Catering Accommodation,864,Self Catering Accommodation_Kerry,5,Zone,86,"[8, 3, 5]"
Old Deanery Holiday Cottages,http://www.olddeanerycottages.com,+353(0)9632221,-9.220393,54.212835,Mayo,Killala,Republic of Ireland,Self Catering Accommodation,1001,Self Catering Accommodation_Mayo,3,Sect,87,"[6, 2, 6, 7]"
Quilty Holiday Cottages,http://www.quiltycottages.com,+353(0)657087095,-9.443341319,52.83060004,Clare,Quilty,Republic of Ireland,Self Catering Accommodation,993,Self Catering Accommodation_Clare,2,Zone,76,"[1, 6]"
Kinsale Holiday Village,http://www.kinsaleholidayvillage.com,+353(0)214772488,-8.516539,51.709711,Cork,Kinsale,Republic of Ireland,Self Catering Accommodation,883,Self Catering Accommodation_Cork,3,Lot,31,"[8, 1]"
Ardnagashel Estate,https://twitter.com/search?q=rentacottageIRE&src=typd,+353(0)61411109,-9.472418,51.726924,Cork,Bantry,Republic of Ireland,Self Catering Accommodation,1113,Self Catering Accommodation_Cork,2,Lot,58,"[6, 4, 2, 3, 7]"
Dingle Marina Cottages,http://www.dinglecottages.com,+353(0)669150200,-10.281096,52.140331,Kerry,Dingle,Republic of Ireland,Self Catering Accommodation,939,Self Catering Accommodation_Kerry,4,Blk,20,"[2, 5, 9, 2, 6]"
Carraroe Holiday Village,http://www.carraroeholidaycottages.ie,+353(0)91551170,-9.601626,53.264241,Galway,Lettermore,Republic of Ireland,Self Catering Accommodation,647,Self Catering Accommodation_Galway,2,Lot,85,"[8, 1]"
Fairgreen Holiday Cottages,http://www.fairgreencottages.com,+353(0)749521247,-8.365927,54.953188,Donegal,Dungloe,Republic of Ireland,Self Catering Accommodation,1059,Self Catering Accommodation_Donegal,3,Sect,9,"[4, 3, 1]"
Tra Na Rosann,https://anoige.ie/tra-na-rosann/,+353(0)749155374,-7.804096,55.229375,Donegal,Downings,Republic of Ireland,Hostel,945,Hostel_Donegal,2,Zone,74,"[0, 9, 0, 3]"
